Port,dShot,lCrank,lBreak,final_score,blue_kills,red_kills
12520,0.52,0.83,0.91,0.23,0.35,0.12
12660,1.09,0.98,1.08,0.32,0.67,0.35
12661,1.09,0.70,0.75,0.02,0.51,0.49
12720,0.57,0.83,0.98,0.19,0.33,0.14
12721,0.69,0.98,0.98,-0.09,0.31,0.40
12860,1.16,0.98,1.08,0.32,0.66,0.34
12861,1.16,0.98,1.17,0.36,0.69,0.32
12880,1.16,1.16,1.17,0.42,0.73,0.30
13020,1.04,0.93,1.05,0.23,0.63,0.40
13060,1.04,1.14,1.05,0.43,0.74,0.30
13061,1.04,1.06,1.05,0.43,0.74,0.30
13080,0.57,1.07,0.61,0.16,0.31,0.15
13081,0.50,0.96,1.05,0.26,0.35,0.09
13400,0.52,0.73,0.89,0.23,0.35,0.12
12881,0.50,0.98,1.17,0.27,0.35,0.08
13040,1.04,0.96,1.17,0.33,0.68,0.35
12521,0.54,0.80,1.14,0.20,0.33,0.13
13041,1.04,0.96,1.05,0.29,0.66,0.37
13360,0.99,0.96,0.84,0.14,0.59,0.45
12620,1.09,0.98,0.45,0.08,0.40,0.33
13340,1.12,0.73,0.84,0.08,0.54,0.46
12702,1.09,0.98,0.98,0.26,0.64,0.38
12720,0.57,0.83,0.98,0.18,0.33,0.15
12721,0.69,0.98,0.98,-0.08,0.31,0.40
12742,0.69,0.98,1.08,-0.08,0.31,0.39
12761,0.57,1.16,0.98,0.18,0.33,0.14
12762,0.57,0.83,1.08,0.18,0.33,0.15
12800,0.57,0.83,0.54,-0.28,0.14,0.42
12820,1.16,0.98,0.54,0.02,0.46,0.44
12822,0.57,1.11,0.54,-0.28,0.14,0.42
12840,1.16,1.16,0.54,0.02,0.46,0.44
12842,0.83,0.44,0.54,-0.51,0.12,0.63
12860,1.16,0.98,1.08,0.32,0.67,0.34
12861,1.16,0.98,1.17,0.35,0.68,0.33
12880,1.16,1.16,1.17,0.43,0.73,0.30
12881,0.50,0.98,1.17,0.27,0.36,0.10
12901,0.50,0.64,1.17,0.27,0.36,0.09
12902,0.50,0.96,1.17,0.27,0.36,0.09
12940,0.50,0.96,0.48,-0.24,0.19,0.43
12941,0.50,0.20,0.37,-0.35,0.09,0.44
12962,0.57,0.17,0.37,-0.39,0.07,0.46
12980,1.04,0.96,0.48,0.13,0.45,0.32
12981,1.04,1.17,0.37,-0.07,0.30,0.37
13001,1.04,0.98,0.48,0.13,0.45,0.32
13002,1.04,0.93,0.35,-0.07,0.28,0.36
13020,1.04,0.93,1.05,0.24,0.63,0.39
13021,1.04,0.93,0.48,0.13,0.45,0.32
13040,1.04,0.96,1.17,0.33,0.68,0.35
13041,1.04,0.96,1.05,0.29,0.66,0.37
13060,1.04,1.14,1.05,0.43,0.74,0.31
13061,1.04,1.06,1.05,0.43,0.74,0.31
13080,0.57,1.07,0.61,0.16,0.32,0.16
13081,0.50,0.96,1.05,0.26,0.35,0.09
13102,0.50,1.14,1.05,0.26,0.36,0.10
13140,0.50,1.07,0.25,-0.42,0.03,0.45
13141,0.57,0.59,0.23,-0.44,0.00,0.44
13160,0.50,0.69,0.51,0.14,0.37,0.23
13161,0.50,0.69,0.25,-0.42,0.03,0.45
13180,0.93,1.07,0.89,-0.02,0.50,0.52
13182,0.50,0.73,0.51,0.14,0.37,0.23
13202,0.93,1.07,0.51,0.02,0.38,0.36
13221,0.50,0.59,0.51,0.14,0.37,0.23
13241,0.51,0.73,0.51,-0.05,0.28,0.33
13260,0.93,0.69,0.34,-0.30,0.12,0.42
13261,0.26,0.36,0.28,-0.46,0.02,0.48
13280,0.99,0.36,0.34,-0.17,0.22,0.40
13282,0.93,0.69,0.51,0.02,0.38,0.36
13301,0.99,0.69,0.34,-0.17,0.22,0.40
13302,0.99,0.99,0.34,-0.17,0.22,0.40
13320,0.99,0.73,0.84,0.06,0.55,0.49
13321,0.99,0.96,0.51,0.16,0.49,0.33
13340,1.12,0.73,0.84,0.09,0.55,0.46
13342,1.12,0.36,0.50,0.01,0.45,0.43
13360,0.99,0.96,0.84,0.15,0.60,0.45
13362,1.13,0.73,0.84,0.09,0.55,0.46
13381,0.67,0.73,0.89,-0.03,0.31,0.34
13382,1.10,0.73,0.84,0.08,0.55,0.46
13400,0.52,0.73,0.89,0.23,0.35,0.12
13402,0.67,0.96,0.89,-0.03,0.31,0.34
13421,0.52,0.73,0.84,0.23,0.35,0.12
13440,0.52,0.76,0.89,0.23,0.35,0.12
13441,0.52,1.07,0.84,0.24,0.35,0.11
13460,0.52,0.76,0.45,-0.25,0.18,0.43
13461,0.52,0.44,0.29,-0.40,0.04,0.44
13480,1.01,1.03,0.45,0.09,0.42,0.34
13481,0.99,0.96,0.35,-0.10,0.27,0.36


